run_id,target_name,model_name,fold,trial,parameters_json,validation_score,selected
m4a_team_environment_20260729T013118Z_19a88321,conditional_ppg,qb_tds_lasso,0,0,"{""lasso__alpha"":1.0}",1268.7363480700822,0
m4a_team_environment_20260729T013118Z_19a88321,conditional_ppg,qb_tds_lasso,0,1,"{""lasso__alpha"":0.01}",974.693931255678,1
m4a_team_environment_20260729T013118Z_19a88321,conditional_ppg,qb_tds_lasso,0,2,"{""lasso__alpha"":1.0}",1268.7363480700822,0
m4a_team_environment_20260729T013118Z_19a88321,conditional_ppg,qb_tds_lasso,0,3,"{""lasso__alpha"":0.001}",979.5934935469609,0
m4a_team_environment_20260729T013118Z_19a88321,conditional_ppg,qb_tds_lasso,0,4,"{""lasso__alpha"":0.001}",979.5934935469609,0
m4a_team_environment_20260729T013118Z_19a88321,conditional_ppg,qb_tds_lasso,0,5,"{""lasso__alpha"":0.003}",977.2146407332915,0
m4a_team_environment_20260729T013118Z_19a88321,conditional_ppg,qb_tds_lasso,0,6,"{""lasso__alpha"":1.0}",1268.7363480700822,0
m4a_team_environment_20260729T013118Z_19a88321,conditional_ppg,qb_tds_lasso,1,0,"{""lasso__alpha"":0.001}",1008.4300293654608,0
m4a_team_environment_20260729T013118Z_19a88321,conditional_ppg,qb_tds_lasso,1,1,"{""lasso__alpha"":0.003}",1005.1911436689545,0
m4a_team_environment_20260729T013118Z_19a88321,conditional_ppg,qb_tds_lasso,1,2,"{""lasso__alpha"":0.1}",1049.6698321567374,0
m4a_team_environment_20260729T013118Z_19a88321,conditional_ppg,qb_tds_lasso,1,3,"{""lasso__alpha"":1.0}",1309.8898859136216,0
m4a_team_environment_20260729T013118Z_19a88321,conditional_ppg,qb_tds_lasso,1,4,"{""lasso__alpha"":0.03}",1004.1245735587925,1
m4a_team_environment_20260729T013118Z_19a88321,conditional_ppg,qb_tds_lasso,1,5,"{""lasso__alpha"":0.001}",1008.4300293654608,0
m4a_team_environment_20260729T013118Z_19a88321,conditional_ppg,qb_tds_lasso,1,6,"{""lasso__alpha"":0.3}",1122.3406455919028,0
m4a_team_environment_20260729T013118Z_19a88321,conditional_ppg,qb_tds_lasso,2,0,"{""lasso__alpha"":0.01}",987.0691504862128,1
m4a_team_environment_20260729T013118Z_19a88321,conditional_ppg,qb_tds_lasso,2,1,"{""lasso__alpha"":0.003}",989.6880235251258,0
m4a_team_environment_20260729T013118Z_19a88321,conditional_ppg,qb_tds_lasso,2,2,"{""lasso__alpha"":0.01}",987.0691504862128,0
